 Taksaka Siang,Kebumen,-7.681834,109.662139,15.00,15.04
 Taksaka Siang,Kutoarjo,-7.726036,109.907187,15.28,15.32
 Taksaka Siang,Yogyakarta,-7.789159,110.363491,16.25,-
 Taksaka Malam,Gambir,-6.176768,106.830637,-,20.45
 Taksaka Malam,Cirebon,-6.705297,108.555402,23.41,23.48
 Taksaka Malam,Purwokerto,-7.419205,109.221934,01.43,01.51
 Taksaka Malam,Kutoarjo,-7.726036,109.907187,03.20,03.24
 Taksaka Malam,Yogyakarta,-7.789159,110.363491,04.15,-
 Bima,Gambir,-6.705297,108.555402,-,16.30
 Bima,Jatibarang,-6.473015,108.306306,18.53,18.55
 Bima,Cirebon,-6.705297,108.555402,19.27,19.34
 Bima,Purwokerto,-7.419205,109.221934,21.28,21.36
 Bima,Yogyakarta,-7.789159,110.363491,00.40,00.52
 Bima,Solo Balapan,-7.556974,110.821455,01.39,01.44
 Bima,Madiun,-7.618756,111.524389,03.01,03.15
 Bima,Nganjuk,-7.600199,111.902736,03.56,03.59
 Bima,Jombang,-7.558013,112.233607,04.33,04.36
 Bima,Mojokerto,-7.472139,112.434932,04.58,05.02
 Bima,sb.Gubeng,-7.265663,112.752033,05.38,06.20
 Bima,sidoarjo,-7.457406,112.713952,06.44,06.46
 Bima,lawang,-7.836702,112.697635,07.47,07.51
 Bima,malang,-7.97754,112.637101,08.15,-
 Gajayana,Gambir,-6.705297,108.555402,-,17.40
 Gajayana,Cirebon,-6.705297,108.555402,20.32,20.39
 Gajayana,Purwokerto,-7.419205,109.221934,22.34,22.49
 Gajayana,Kutoarjo,-7.726036,109.907187,00.45,00.55
 Gajayana,Yogyakarta,-7.789159,110.363491,01.47,02.00
 Gajayana,Solo Balapan,-7.556974,110.821455,02.47,02.55
 Gajayana,Madiun,-7.618756,111.524389,04.12,04.30
 Gajayana,Nganjuk,-7.600199,111.902736,05.11,05.14
 Gajayana,Kertosono,-7.592019,112.10062,05.34,05.38
 Gajayana,Kediri,-7.817222,112.015548,06.16,06.21
 Gajayana,Tulungagung,-8.062889,111.904489,06.47,06.51
 Gajayana,Blitar,-8.101335,112.1628,07.20,07.25
 Gajayana,Wlingi,-8.0883,112.320067,07.46,07.49
 Gajayana,Kepanjen,-8.131958,112.57328,08.34,08.37
 Gajayana,Malangkotalama,-7.994843,112.632595,08.58,09.01
 Gajayana,Malang,-7.97754,112.637101,09.06,-
Purwojaya,Gambir,-6.705297,108.555402,-,22.05
Purwojaya,Cirebon,-6.705297,108.555402,01.00,01.08
Purwojaya,Purwokerto,-7.419205,109.221934,03.08,03.30
Purwojaya,Kroya,-7.630099,109.253565,03.58,04.15
Purwojaya,Maos,-7.618954,109.1395,04.29,04.31
Purwojaya,Cilacap,-7.736079,109.007036,04.57,-
Argo Parahyangan,Gambir,-6.705297,108.555402,-,05.00
Argo Parahyangan,Bekasi,-6.236138,106.999422,05.24,05.26
Argo Parahyangan,Purwakarta,-6.552773,107.446474,06.30,06.35
Argo Parahyangan,Cimahi,-6.88573,107.536122,08.21,08.23
Argo Parahyangan,Bandung,-6.914629,107.602439,08.34,-
 Bima,Sb.Gubeng,-7.265663,112.752033,16.24,17.00
 Bima,Mojokerto,-7.472139,112.434932,17.36,17.40
 Bima,Jombang,-7.558013,112.233607,18.02,18.05
 Bima,Nganjuk,-7.600199,111.902736,18.40,18.50
 Bima,Madiun,-7.618756,111.524389,19.30,19.38
 Bima,Solo Balapan,-7.556974,110.821455,20.53,20.58
 Bima,Yogyakarta,-7.789159,110.363491,21.46,22.00
 Bima,Purwokerto,-7.419205,109.221934,00.30,00.38
 Bima,Cirebon,-6.705284,108.555397,02.34,02.42
 Bima,Jatibarang,-6.473015,108.306306,03.13,03.15
 Bima,Jatinegara,-6.215287,106.870162,05.25,05.2
 Bima,Gambir,-6.705297,108.555402,05.43,-
Argo Wilis,Sb.Gubeng,-7.265663,112.752033,-,07.00
Argo Wilis,Jombang,-7.558013,112.233607,07.55,07.57
Argo Wilis,Madiun,-7.618756,111.524389,09.04,09.09
Argo Wilis,Solo Balapan,-7.556974,110.821455,10.23,10.30
Argo Wilis,Yogyakarta,-7.789159,110.363491,11.18,11.25
Argo Wilis,Kutoarjo,-7.726036,109.907187,12.18,12.25
Argo Wilis,Kroya,-7.630099,109.253565,13.30,13.45
Argo Wilis,Banjar,-7.37628,108.542422,15.09,15.20
Argo Wilis,Tasikmalaya,-7.322344,108.223812,16.07,16.21
Argo Wilis,Cipeundeuy,-7.094597,108.103213,17.07,17.19
Argo Wilis,Bandung,-6.914629,107.602439,19.06,-
Turangga,Sb.Gubeng,-7.265663,112.752033,-,16.30
Turangga,Mojokerto,-7.472139,112.434932,17.06,17.10
Turangga,Jombang,-7.558013,112.233607,17.32,17.35
Turangga,Madiun,-7.618756,111.524389,19.05,19.12
Turangga,Solo Balapan,-7.556974,110.821455,20.27,20.32
Turangga,Yogyakarta,-7.789159,110.363491,21.19,21.25
Turangga,Kutoarjo,-7.726036,109.907187,22.16,22.19
Turangga,Kroya,-7.630099,109.253565,23.41,23.56
Turangga,Banjar,-7.37628,108.542422,01.20,01.30
Turangga,Tasikmalaya,-7.322344,108.223812,02.17,02.22
Turangga,Cipeundeuy,-7.094597,108.103213,03.08,03.20
Turangga,Bandung,-6.914629,107.602439,05.04,-
Mutiara Selatan,sb.Gubeng,-7.265663,112.752033,18.30,19.00
Mutiara Selatan,Mojokerto,-7.472139,112.434932,19.36,19.47
Mutiara Selatan,Jombang,-7.558013,112.233607,20.09,20.12
Mutiara Selatan,Kertosono,-7.592019,112.10062,20.27,20.38
Mutiara Selatan,Nganjuk,-7.600199,111.902736,20.59,21.01
Mutiara Selatan,Madiun,-7.618756,111.524389,21.40,21.53
Mutiara Selatan,Solo Balapan,-7.556974,110.821455,23.08,23.13
Mutiara Selatan,Yogyakarta,-7.789159,110.363491,00.00,00.15
Mutiara Selatan,Kutoarjo,-7.726036,109.907187,01.08,01.18
Mutiara Selatan,Kebumen,-7.681834,109.662139,01.43,01.47
Mutiara Selatan,Gombong,-7.61091,109.507773,02.06,02.15
Mutiara Selatan,Kroya,-7.630099,109.253565,02.51,03.06
Mutiara Selatan,Maos,-7.618954,109.1395,03.20,03.20
Mutiara Selatan,Banjar,-7.37628,108.542422,04.33,04.40
Mutiara Selatan,Ciamis,-7.329132,108.356003,05.05,05.07
Mutiara Selatan,Tasikmalaya,-7.322344,108.223812,05.31,05.37
Mutiara Selatan,Cipeundeuy,-7.094597,108.103213,06.23,06.33
Mutiara Selatan,Kiaracondong,-6.924952,107.646302,08.21,08.23
Mutiara Selatan,Bandung,-6.914629,107.602439,08.33,-
Sancaka,Sb.Gubeng,-7.265663,112.752033,-,07.30
Sancaka,Mojokerto,-7.472139,112.434932,08.17,08.20
Sancaka,Jombang,-7.558013,112.233607,08.41,08.43
Sancaka,Nganjuk,-7.600199,111.902736,09.16,09.18
Sancaka,Madiun,-7.618756,111.524389,10.06,10.30
Sancaka,Solo Balapan,-7.556974,110.821455,11.47,11.53
Sancaka,Klaten,-7.71234,110.603024,12.18,12.20
Sancaka,Yogyakarta,-7.789159,110.363491,12.45,-
Mutiara Timur,Sb.Gubeng,-7.265663,112.752033,-,09.00
Mutiara Timur,sidoarjo,-7.457406,112.713952,09.23,09.26
Mutiara Timur,Bangil,-7.598884,112.778315,09.47,09.54
Mutiara Timur,Probolinggo,-7.742783,113.216009,10.56,11.04
Mutiara Timur,Tanggul,-8.162857,113.44838,12.09,12.13
Mutiara Timur,Rambipuji,-8.203394,113.614407,12.34,12.36
Mutiara Timur,Jember,-8.164785,113.703605,12.49,12.57
Mutiara Timur,Kalisat,-8.126866,113.812324,13.16,13.18
Mutiara Timur,Kalibaru,-8.288854,113.984387,14.03,14.05
Mutiara Timur,Kalisetail,-8.302851,114.139769,14.23,14.25
Mutiara Timur,Temuguruh,-8.309786,114.201962,14.35,14.37
Mutiara Timur,Rogojampi,-8.304499,114.292583,14.49,14.51
Mutiara Timur,Karangasem,-8.222873,114.340794,15.04,15.06
Mutiara Timur,Banyuwangi,-8.141264,114.39729,15.20,-
Bangunkarta,Sb.Gubeng,-7.265663,112.752033,-,16.00
Bangunkarta,Mojokerto,-7.472139,112.434932,16.36,16.39
Bangunkarta,Jombang,-7.558013,112.233607,17.01,17.04
Bangunkarta,Kertosono,-7.592019,112.10062,17.19,17.22
